id_artista,nombre_artistico,pais_origen,fecha_debut,id_genero
1,Bad Bunny,Puerto Rico,2016-01-01,3
2,Michael Jackson,Estados Unidos,1971-10-07,1
3,Daft Punk,Francia,1993-01-01,5
4,Miles Davis,Estados Unidos,1944-01-01,4
10,Luna Marea,Colombia,2015-03-10,1
11,Fuego Callejero,Puerto Rico,2012-07-01,3
12,Cristal Azul,Mexico,2008-11-23,2
13,Eco del Norte,Argentina,2010-05-17,2
14,Ritmo Nocturno,Espana,2016-09-09,5
15,Vientos del Sur,Chile,2005-01-30,4
16,Ola Digital,Mexico,2018-02-14,5
17,Sol de Media Noche,Peru,2013-06-21,1
